date,year,month,month_name,quarter,day_of_week,week_number,is_weekend
2017-01-03,2017,1,January,1,Tuesday,1,False
2017-01-04,2017,1,January,1,Wednesday,1,False
2017-01-05,2017,1,January,1,Thursday,1,False
2017-01-06,2017,1,January,1,Friday,1,False
2017-01-07,2017,1,January,1,Saturday,1,True
2017-01-08,2017,1,January,1,Sunday,1,True
2017-01-09,2017,1,January,1,Monday,2,False
2017-01-10,2017,1,January,1,Tuesday,2,False
2017-01-11,2017,1,January,1,Wednesday,2,False
2017-01-12,2017,1,January,1,Thursday,2,False
2017-01-13,2017,1,January,1,Friday,2,False
2017-01-14,2017,1,January,1,Saturday,2,True
2017-01-15,2017,1,January,1,Sunday,2,True
2017-01-16,2017,1,January,1,Monday,3,False
2017-01-17,2017,1,January,1,Tuesday,3,False
2017-01-18,2017,1,January,1,Wednesday,3,False
2017-01-19,2017,1,January,1,Thursday,3,False
2017-01-20,2017,1,January,1,Friday,3,False
2017-01-21,2017,1,January,1,Saturday,3,True
2017-01-22,2017,1,January,1,Sunday,3,True
2017-01-23,2017,1,January,1,Monday,4,False
2017-01-24,2017,1,January,1,Tuesday,4,False
2017-01-25,2017,1,January,1,Wednesday,4,False
2017-01-26,2017,1,January,1,Thursday,4,False
2017-01-27,2017,1,January,1,Friday,4,False
2017-01-28,2017,1,January,1,Saturday,4,True
2017-01-29,2017,1,January,1,Sunday,4,True
2017-01-30,2017,1,January,1,Monday,5,False
2017-01-31,2017,1,January,1,Tuesday,5,False
2017-02-01,2017,2,February,1,Wednesday,5,False
2017-02-02,2017,2,February,1,Thursday,5,False
2017-02-03,2017,2,February,1,Friday,5,False
2017-02-04,2017,2,February,1,Saturday,5,True
2017-02-05,2017,2,February,1,Sunday,5,True
2017-02-06,2017,2,February,1,Monday,6,False
2017-02-07,2017,2,February,1,Tuesday,6,False
2017-02-08,2017,2,February,1,Wednesday,6,False
2017-02-09,2017,2,February,1,Thursday,6,False
2017-02-10,2017,2,February,1,Friday,6,False
2017-02-11,2017,2,February,1,Saturday,6,True
2017-02-12,2017,2,February,1,Sunday,6,True
2017-02-13,2017,2,February,1,Monday,7,False
2017-02-14,2017,2,February,1,Tuesday,7,False
2017-02-15,2017,2,February,1,Wednesday,7,False
2017-02-16,2017,2,February,1,Thursday,7,False
2017-02-17,2017,2,February,1,Friday,7,False
2017-02-18,2017,2,February,1,Saturday,7,True
2017-02-19,2017,2,February,1,Sunday,7,True
2017-02-20,2017,2,February,1,Monday,8,False
2017-02-21,2017,2,February,1,Tuesday,8,False
2017-02-22,2017,2,February,1,Wednesday,8,False
2017-02-23,2017,2,February,1,Thursday,8,False
2017-02-24,2017,2,February,1,Friday,8,False
2017-02-25,2017,2,February,1,Saturday,8,True
2017-02-26,2017,2,February,1,Sunday,8,True
2017-02-27,2017,2,February,1,Monday,9,False
2017-02-28,2017,2,February,1,Tuesday,9,False
2017-03-01,2017,3,March,1,Wednesday,9,False
2017-03-02,2017,3,March,1,Thursday,9,False
2017-03-03,2017,3,March,1,Friday,9,False
2017-03-04,2017,3,March,1,Saturday,9,True
2017-03-05,2017,3,March,1,Sunday,9,True
2017-03-06,2017,3,March,1,Monday,10,False
2017-03-07,2017,3,March,1,Tuesday,10,False
2017-03-08,2017,3,March,1,Wednesday,10,False
2017-03-09,2017,3,March,1,Thursday,10,False
2017-03-10,2017,3,March,1,Friday,10,False
2017-03-11,2017,3,March,1,Saturday,10,True
2017-03-12,2017,3,March,1,Sunday,10,True
2017-03-13,2017,3,March,1,Monday,11,False
2017-03-14,2017,3,March,1,Tuesday,11,False
2017-03-15,2017,3,March,1,Wednesday,11,False
2017-03-16,2017,3,March,1,Thursday,11,False
2017-03-17,2017,3,March,1,Friday,11,False
2017-03-18,2017,3,March,1,Saturday,11,True
2017-03-19,2017,3,March,1,Sunday,11,True
2017-03-20,2017,3,March,1,Monday,12,False
2017-03-21,2017,3,March,1,Tuesday,12,False
2017-03-22,2017,3,March,1,Wednesday,12,False
2017-03-23,2017,3,March,1,Thursday,12,False
2017-03-24,2017,3,March,1,Friday,12,False
2017-03-25,2017,3,March,1,Saturday,12,True
2017-03-26,2017,3,March,1,Sunday,12,True
2017-03-27,2017,3,March,1,Monday,13,False
2017-03-28,2017,3,March,1,Tuesday,13,False
2017-03-29,2017,3,March,1,Wednesday,13,False
2017-03-30,2017,3,March,1,Thursday,13,False
2017-03-31,2017,3,March,1,Friday,13,False
2017-04-01,2017,4,April,2,Saturday,13,True
2017-04-02,2017,4,April,2,Sunday,13,True
2017-04-03,2017,4,April,2,Monday,14,False
2017-04-04,2017,4,April,2,Tuesday,14,False
2017-04-05,2017,4,April,2,Wednesday,14,False
2017-04-06,2017,4,April,2,Thursday,14,False
2017-04-07,2017,4,April,2,Friday,14,False
2017-04-08,2017,4,April,2,Saturday,14,True
2017-04-09,2017,4,April,2,Sunday,14,True
2017-04-10,2017,4,April,2,Monday,15,False
2017-04-11,2017,4,April,2,Tuesday,15,False
2017-04-12,2017,4,April,2,Wednesday,15,False
2017-04-13,2017,4,April,2,Thursday,15,False
2017-04-14,2017,4,April,2,Friday,15,False
2017-04-15,2017,4,April,2,Saturday,15,True
2017-04-16,2017,4,April,2,Sunday,15,True
2017-04-17,2017,4,April,2,Monday,16,False
2017-04-18,2017,4,April,2,Tuesday,16,False
2017-04-19,2017,4,April,2,Wednesday,16,False
2017-04-20,2017,4,April,2,Thursday,16,False
2017-04-21,2017,4,April,2,Friday,16,False
2017-04-22,2017,4,April,2,Saturday,16,True
2017-04-23,2017,4,April,2,Sunday,16,True
2017-04-24,2017,4,April,2,Monday,17,False
2017-04-25,2017,4,April,2,Tuesday,17,False
2017-04-26,2017,4,April,2,Wednesday,17,False
2017-04-27,2017,4,April,2,Thursday,17,False
2017-04-28,2017,4,April,2,Friday,17,False
2017-04-29,2017,4,April,2,Saturday,17,True
2017-04-30,2017,4,April,2,Sunday,17,True
2017-05-01,2017,5,May,2,Monday,18,False
2017-05-02,2017,5,May,2,Tuesday,18,False
2017-05-03,2017,5,May,2,Wednesday,18,False
2017-05-04,2017,5,May,2,Thursday,18,False
2017-05-05,2017,5,May,2,Friday,18,False
2017-05-06,2017,5,May,2,Saturday,18,True
2017-05-07,2017,5,May,2,Sunday,18,True
2017-05-08,2017,5,May,2,Monday,19,False
2017-05-09,2017,5,May,2,Tuesday,19,False
2017-05-10,2017,5,May,2,Wednesday,19,False
2017-05-11,2017,5,May,2,Thursday,19,False
2017-05-12,2017,5,May,2,Friday,19,False
2017-05-13,2017,5,May,2,Saturday,19,True
2017-05-14,2017,5,May,2,Sunday,19,True
2017-05-15,2017,5,May,2,Monday,20,False
2017-05-16,2017,5,May,2,Tuesday,20,False
2017-05-17,2017,5,May,2,Wednesday,20,False
2017-05-18,2017,5,May,2,Thursday,20,False
2017-05-19,2017,5,May,2,Friday,20,False
2017-05-20,2017,5,May,2,Saturday,20,True
2017-05-21,2017,5,May,2,Sunday,20,True
2017-05-22,2017,5,May,2,Monday,21,False
2017-05-23,2017,5,May,2,Tuesday,21,False
2017-05-24,2017,5,May,2,Wednesday,21,False
2017-05-25,2017,5,May,2,Thursday,21,False
2017-05-26,2017,5,May,2,Friday,21,False
2017-05-27,2017,5,May,2,Saturday,21,True
2017-05-28,2017,5,May,2,Sunday,21,True
2017-05-29,2017,5,May,2,Monday,22,False
2017-05-30,2017,5,May,2,Tuesday,22,False
2017-05-31,2017,5,May,2,Wednesday,22,False
2017-06-01,2017,6,June,2,Thursday,22,False
2017-06-02,2017,6,June,2,Friday,22,False
